 ,Area,Mean,Min,Max
1,121,18676.620,4003,37339
2,544,24376.570,4375,63320
3,451,14991.359,5364,21044
4,593,7780.622,3233,10774
5,347,8440.568,4352,11136
6,190,29328.805,10126,57951
7,242,11620.851,6800,15060
8,313,16995.463,9871,23994
9,169,42713.639,10510,65535
10,349,19969.479,10848,29037
11,452,14948.973,7091,20234
12,334,15092.506,6413,20912
13,652,12539.667,5299,21011
14,321,2459.595,1985,4023
15,392,8049.602,4328,10937
16,506,10695.980,4664,15376
17,344,8256.628,3604,10719
18,351,6478.043,4123,9820
19,329,7479.927,4409,9928
20,435,17308.053,6452,25534
21,618,8782.922,4263,12946
22,514,14885.078,5620,21639
23,327,9429.049,4873,12788
24,300,10697.710,5876,15255
25,240,9489.087,4431,12584
