"Label","Spot.ID","Track.ID","Quality","X","Y","Z","T","Frame","Radius","Visibility","Manual.spot.color","Mean.intensity.ch1","Median.intensity.ch1","Min.intensity.ch1","Max.intensity.ch1","Sum.intensity.ch1","Std.intensity.ch1","Mean.intensity.ch2","Median.intensity.ch2","Min.intensity.ch2","Max.intensity.ch2","Sum.intensity.ch2","Std.intensity.ch2","Mean.intensity.ch3","Median.intensity.ch3","Min.intensity.ch3","Max.intensity.ch3","Sum.intensity.ch3","Std.intensity.ch3","Mean.intensity.ch4","Median.intensity.ch4","Min.intensity.ch4","Max.intensity.ch4","Sum.intensity.ch4","Std.intensity.ch4","Mean.intensity.ch5","Median.intensity.ch5","Min.intensity.ch5","Max.intensity.ch5","Sum.intensity.ch5","Std.intensity.ch5","Mean.intensity.ch6","Median.intensity.ch6","Min.intensity.ch6","Max.intensity.ch6","Sum.intensity.ch6","Std.intensity.ch6","Contrast.ch1","Signal.Noise.ratio.ch1","Contrast.ch2","Signal.Noise.ratio.ch2","Contrast.ch3","Signal.Noise.ratio.ch3","Contrast.ch4","Signal.Noise.ratio.ch4","Contrast.ch5","Signal.Noise.ratio.ch5","Contrast.ch6","Signal.Noise.ratio.ch6","Ellipse.center.x0","Ellipse.center.y0","Ellipse.long.axis","Ellipse.short.axis","Ellipse.angle","Ellipse.aspect.ratio","Area","Perimeter","Circularity","Solidity","Shape.index"
"Track_15.1",3125,15,0.875984370708466,269.720187793427,324.683568075117,0,0,0,7.51664850831957,1,NA,39895.7005649718,40066,26541,54659,7061539,4331.0810528049,6605.28248587571,5999,5290,17227,1169135,2076.87226304871,12170.2259887006,12063,5576,17361,2154130,3107.95894453445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235636561245454,-0.44458880260543,-0.131423650276024,-0.962447681530381,0.502546965699566,2.6194008522107,NA,NA,NA,NA,NA,NA,0.0324486460706796,-0.0457636588140857,8.78573868903504,6.51123596365793,0.119358367575397,1.34931965882854,177.5,50.1443299263566,0.887083613534168,0.975274725274725,3.76376633643564
"Track_15.2",6103,15,0.846215546131134,272.06624934794,331.077725612937,0,1,1,10.084642216545,1,NA,40535.1875,40787,28300,52762,12971260,3808.02590180382,6681.153125,6150,5330,17644,2137969,1587.41291617773,9338.55625,8543,4929,15978,2988338,3016.45309420738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00971435008588569,-0.208840898435905,-0.162624018157955,-1.63476638506332,0.56769002594466,2.24214774601245,NA,NA,NA,NA,NA,NA,0.0301392559309594,-0.0645553710408007,12.0751599078517,8.51696108784379,0.329496252968139,1.41777798246448,319.5,67.2547764096563,0.887635085243066,0.978560490045942,3.76259697462636
"Track_15.3",6131,15,0.862094283103943,270.829747074368,330.651566628917,0,2,2,11.8546958944607,1,NA,41108.4898876404,40973,29933,56733,18293278,4037.16785798208,7208.35505617978,6252,5205,21843,3207718,2678.43266404316,7788.46741573034,7206,3254,14700,3465868,2877.53098807585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00247513568923848,0.0502817187805842,-0.0978964070293969,-0.584111522372439,0.579059234460392,1.98511908084981,NA,NA,NA,NA,NA,NA,0.0721680742808965,-0.0158850201576421,15.3313000461255,9.26878652550814,0.355848862503133,1.65407844963664,441.5,79.7880422650768,0.871495108445097,0.98659217877095,3.79727854163334
"Track_15.4",6170,15,0.826007723808289,269.959613196815,331.681456200228,0,3,3,9.65737006911564,1,NA,40548.9966329966,40693,31624,50911,12043052,3421.12600052601,6548.03367003367,6155,5265,15288,1944766,1251.06340667096,9340.32323232323,8758,4779,15416,2774076,2958.27013285665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178119603483561,0.0421482825224536,-0.157458965138047,-1.95631105590406,0.544011990732637,2.22490706992716,NA,NA,NA,NA,NA,NA,0.0613021660138669,-0.00746156125597895,12.8314260811519,7.33266675977403,0.450938585678721,1.74989897966497,293,66.5214093373665,0.832059916644172,0.971807628524047,3.8862222284597
"Track_15.5",6186,15,0.887094914913177,268.751426242869,329.025264873676,0,4,4,8.06810831140641,1,NA,40406.0098522167,40570,29562,53832,8202420,3943.2216812684,6484.12807881773,6016,5385,17012,1316278,1800.64414309137,11167.0541871921,10844,5540,16826,2266912,2903.27536816366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157404337478223,-0.327741788416433,-0.132340779123077,-1.09849526245131,0.525007674393381,2.64834166006126,NA,NA,NA,NA,NA,NA,0.0268729201202974,-0.0176410057540703,9.47704506096167,6.9174714977732,0.0490525538906028,1.37001577296161,204.5,53.9568891263978,0.882692367328943,0.976133651551313,3.77311677419069
"Track_15.6",6221,15,0.85146963596344,269.426501035197,327.843340234645,0,5,5,8.76765861067739,1,NA,40399.6776859504,40421,30582,53254,9776722,3721.27975848508,6661.76033057851,6053,5213,19023,1612146,2248.43363098461,10596.5578512397,10206,5285,16745,2564367,3070.92886436667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011690712464335,-0.256840601145169,-0.117418792169682,-0.788355060439999,0.538811358283442,2.41644220045384,NA,NA,NA,NA,NA,NA,0.0445366385251477,0.00249662781894143,9.86205473174615,7.868705178126,0.097198885811712,1.25332624726637,241.5,57.3088018891506,0.924026318013521,0.983706720977597,3.6877609527457
"Track_15.7",6247,15,0.855289578437805,272.831441782261,329.002522068096,0,6,6,11.2343166179289,1,NA,40965.2619647355,41151,27229,57473,16263209,4031.52967207954,7064.16624685139,6232,5265,20535,2804474,2285.5524236786,8778.64231738035,8067,3924,16646,3485121,3169.36536329965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000717958508315212,-0.0146011524524624,-0.132764023507076,-0.946330504260109,0.582865446461841,2.03990223590118,NA,NA,NA,NA,NA,NA,0.069576066332977,-0.0634663347208656,14.0832552877015,9.04271281317503,0.396297416483024,1.55741485753949,396.5,74.9116306591486,0.887880573896862,0.987546699875467,3.76207678151233
"Track_15.8",6280,15,0.853457570075989,273.160560344828,330.930316091954,0,7,7,12.153015559493,1,NA,41166.7473233405,41281,29487,58981,19224871,4280.02890873679,7455.35760171306,6373,5294,21044,3481652,2640.99501638447,8001.65524625268,7362,3551,15790,3736773,3033.26604153739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171127594508812,0.00329136145840058,-0.0985582267196217,-0.617285527470258,0.57598255993127,1.92822298213752,NA,NA,NA,NA,NA,NA,0.00200122815519316,-0.123052346429617,15.4244512788909,9.66957496756537,0.413866188714526,1.59515297524752,464,81.2986934159892,0.88218711992611,0.98828541001065,3.77419709180864
"Track_15.9",6304,15,0.854632496833801,273.10373103731,330.650676506765,0,8,8,11.3751030207955,1,NA,41098.1882640587,41169,29258,65535,16809159,4347.63025447954,7502.23960880196,6326,5305,21549,3068416,2845.00331787529,8111.20782396088,7635,3444,14133,3317484,2634.71745021884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000414629323353224,0.00783574058763719,-0.110843891678424,-0.657463879465784,0.542259573397203,2.16486704847185,NA,NA,NA,NA,NA,NA,0.00274321447246438,-0.112693016314837,14.2949170903153,9.14540018525793,0.474056004290288,1.56307179573817,406.5,76.8508347568163,0.864914614736872,0.977163461538461,3.81169650749356
"Track_15.10",6339,15,0.817491292953491,273.481536189069,331.459871984244,0,9,9,10.3801684221988,1,NA,40659.6891495601,40817,28625,53587,13864954,3838.72829089571,7404.3284457478,6481,5481,19145,2524876,2341.66416892803,8326.66275659824,8077,4284,13474,2839392,2361.28265257341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264072092035393,-0.0560889809737878,-0.142743993169547,-1.05302423158069,0.49336221855342,2.32998820869336,NA,NA,NA,NA,NA,NA,-0.0642821099815113,-0.0823868189515596,12.860848271768,8.48409581647356,0.632340522919853,1.51587730147933,338.5,69.527982046986,0.87993235610825,0.976911976911977,3.77902955332738
