"Label","Spot.ID","Track.ID","Quality","X","Y","Z","T","Frame","Radius","Visibility","Manual.spot.color","Mean.intensity.ch1","Median.intensity.ch1","Min.intensity.ch1","Max.intensity.ch1","Sum.intensity.ch1","Std.intensity.ch1","Mean.intensity.ch2","Median.intensity.ch2","Min.intensity.ch2","Max.intensity.ch2","Sum.intensity.ch2","Std.intensity.ch2","Mean.intensity.ch3","Median.intensity.ch3","Min.intensity.ch3","Max.intensity.ch3","Sum.intensity.ch3","Std.intensity.ch3","Mean.intensity.ch4","Median.intensity.ch4","Min.intensity.ch4","Max.intensity.ch4","Sum.intensity.ch4","Std.intensity.ch4","Mean.intensity.ch5","Median.intensity.ch5","Min.intensity.ch5","Max.intensity.ch5","Sum.intensity.ch5","Std.intensity.ch5","Mean.intensity.ch6","Median.intensity.ch6","Min.intensity.ch6","Max.intensity.ch6","Sum.intensity.ch6","Std.intensity.ch6","Contrast.ch1","Signal.Noise.ratio.ch1","Contrast.ch2","Signal.Noise.ratio.ch2","Contrast.ch3","Signal.Noise.ratio.ch3","Contrast.ch4","Signal.Noise.ratio.ch4","Contrast.ch5","Signal.Noise.ratio.ch5","Contrast.ch6","Signal.Noise.ratio.ch6","Ellipse.center.x0","Ellipse.center.y0","Ellipse.long.axis","Ellipse.short.axis","Ellipse.angle","Ellipse.aspect.ratio","Area","Perimeter","Circularity","Solidity","Shape.index"
"Track_10.1",2198,10,0.89557409286499,288.143622722401,341.560557341908,0,0,0,12.1857113827933,1,NA,40860.9227467811,41079,25909,55188,19041190,3458.97149833259,12318.1480686695,12552,8138,15577,5740257,1795.84599333906,3275.42703862661,3348,1071,6842,1526349,1324.78992452674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00741892137516565,0.173989022058905,0.320542161005609,3.32996151840785,0.0721384401955207,0.332710716208022,NA,NA,NA,NA,NA,NA,0.0261019570594005,-0.0224277491084222,13.5883928318406,11.0048396907732,0.181938705801096,1.23476517729137,466.5,79.3547065612257,0.930928083635484,0.982105263157895,3.67406525896805
"Track_10.2",2284,10,0.909498751163483,288.690327070285,345.339248434238,0,1,1,12.3478919448639,1,NA,40415.8604166667,40845,27756,48939,19399613,3628.34057599089,12330.225,12580,8012,15612,5918508,1934.24707759958,2955.42708333333,2960,1120,7026,1418605,1236.33161283088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00144278057456604,-0.0321885274772401,0.325813664625274,3.13311150793131,0.00309147203963719,0.0147346578285334,NA,NA,NA,NA,NA,NA,0.0180213415416587,-0.0153433239780773,13.4611211745317,11.4188616109657,0.239659820089579,1.17884966410354,479,80.073908319317,0.93877891012838,0.987628865979381,3.65867025638395
"Track_10.3",2387,10,0.893853306770325,288.013612565445,344.506457242583,0,2,2,12.3285429249673,1,NA,40744.89958159,40893,28279,50688,19476062,3151.46824694273,12316.5292887029,12630,7594,15506,5887301,1913.63047738119,3238.79916317992,3249,1083,7392,1548146,1348.95185082654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00620732537960038,0.159517137652613,0.324943659123795,3.15697335221734,0.0575044842801567,0.261118150494957,NA,NA,NA,NA,NA,NA,0.0599893108443729,-0.000969293472344628,13.6328215730599,11.2488931501625,0.218053073651894,1.21192559935224,477.5,79.9180523645282,0.939492802103205,0.984536082474227,3.65727993615358
"Track_10.4",2475,10,0.911064505577087,289.273129251701,345.568027210884,0,3,3,12.4888688130694,1,NA,40566.6106557377,40748,28505,48784,19796506,3164.72993681069,12232.2131147541,12396,7794,15475,5969320,1870.32137474764,3548.10040983607,3693,1126,6453,1731473,1363.04144156246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326094885562953,0.0833282274555077,0.324653241683192,3.2057993350608,0.145052246497634,0.659501812330873,NA,NA,NA,NA,NA,NA,0.0304152147592171,-0.0283003022311501,13.6795877668078,11.5017235564608,0.227807439241431,1.18935111765259,490,80.3049084844853,0.954820557792321,0.993914807302231,3.62780597289077
"Track_10.5",2577,10,0.900385737419128,288.751311647429,345.492829660721,0,4,4,12.3156266899649,1,NA,40672.6666666667,41075,28055,49093,19400862,3419.41619359827,12304.1740041929,12562,8254,15556,5869091,1795.08006220975,3378.68553459119,3546,1149,5772,1611633,1313.17382129609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030408098097904,0.0721192719060159,0.322117821289983,3.33997510960162,0.12222620935518,0.560453373345978,NA,NA,NA,NA,NA,NA,0.0515177057264643,-0.00209900799443847,13.5697430305551,11.2729663739875,0.135828863799977,1.20374199481934,476.5,80.242607684865,0.929956643961386,0.979445015416238,3.67598373612597
"Track_10.6",2679,10,0.896464407444,288.785739010038,343.649013499481,0,5,5,12.3800731095376,1,NA,40982.4968814969,41259,29291,51137,19712581,3037.95629983016,12253.0187110187,12499,7775,15383,5893702,1837.86473524736,3345.08316008316,3431,1137,6849,1608985,1248.04407530477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00620323788674273,0.166333456864787,0.32101404728643,3.24023231598479,0.0873952312923198,0.43083135583688,NA,NA,NA,NA,NA,NA,0.0290388642546888,-0.0158194340703284,13.475928596544,11.4485736159534,0.198153927796029,1.17708363055512,481.5,80.0805277379151,0.94352258968224,0.984662576687117,3.6494614526898
"Track_10.7",2775,10,0.895506620407104,289.053144971409,343.349815001682,0,6,6,12.5587638167165,1,NA,40710.8888888889,41156,28236,50127,20151890,3440.26090035743,12225.0383838384,12540,7904,15531,6051394,1950.27345340547,3220.06262626263,3206,1110,7413,1593931,1351.02463369375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00433049051336831,0.102049209504458,0.326115932064458,3.08301218612507,0.0592665111948674,0.266707461976117,NA,NA,NA,NA,NA,NA,0.0195210814920875,0.00252897761837098,13.8326485696847,11.4905761409044,0.179257400772756,1.20382550013684,495.5,80.7640500244858,0.954591020112422,0.991991991991992,3.62824211155983
"Track_10.8",2864,10,0.89717423915863,289.20357020254,344.566083075867,0,7,7,12.4313896947296,1,NA,40701.4618556701,41153,27487,49382,19740209,3504.59056878884,12317.3113402062,12542,8104,15540,5973896,1888.8438284408,3499.43917525773,3558,1147,7888,1697228,1480.09801681214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279504448089334,0.0647409786707426,0.32723034814678,3.21556382366594,0.115453483691357,0.489433335435834,NA,NA,NA,NA,NA,NA,0.0411145663849652,0.00832501099706867,13.5085314497283,11.510383561563,0.0322108230747926,1.17359524793229,485.5,79.6661164623235,0.961284200965599,0.993858751279427,3.61558877756047
"Track_10.9",2962,10,0.896459102630615,289.103580118179,344.514424748001,0,8,8,12.3543348839639,1,NA,40871.9083333333,41205,26977,49765,19618516,3446.64725896002,12316.1354166667,12536,7907,15813,5911745,1815.82882046047,3920.02708333333,4065,1211,7901,1881613,1576.89857643114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00451832473358383,0.1066786840245,0.322941485220762,3.31140842223459,0.163351136442971,0.698114476563378,NA,NA,NA,NA,NA,NA,0.0281450866407151,0.00475190073281832,13.5488932914312,11.3590143507197,0.111870593916168,1.19278776072439,479.5,79.9906717826602,0.941715648775043,0.985611510791366,3.65296102336869
"Track_10.10",3058,10,0.896448731422424,289.270833333333,344.564890710382,0,9,9,12.463355264843,1,NA,40712.063394683,40929,27369,50378,19908199,3579.61383547679,12252.445807771,12440,8212,15471,5991446,1822.64438071531,4142.78527607362,4351,1213,8245,2025822,1675.26492305119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112483161015435,0.0255573729556734,0.323253577679779,3.28436267803724,0.19616001641392,0.81107335108245,NA,NA,NA,NA,NA,NA,0.0440054424180135,0.00778445577857034,13.6118663371824,11.4866617773437,0.0283757324856154,1.18501498529629,488,80.0644620999917,0.956643457065215,0.992878942014242,3.62434790385785
